loss,delay,md5_hash,throughput
1,20,eab4b056e3b71e00905807aecdcc30c0,257047.49875440903
1,20,eab4b056e3b71e00905807aecdcc30c0,218870.1198343202
1,20,eab4b056e3b71e00905807aecdcc30c0,252273.7747282053
1,20,eab4b056e3b71e00905807aecdcc30c0,257610.57632382773
1,20,eab4b056e3b71e00905807aecdcc30c0,277859.27457124856
1,40,eab4b056e3b71e00905807aecdcc30c0,120767.47052906298
1,40,eab4b056e3b71e00905807aecdcc30c0,134122.82495115075
1,40,eab4b056e3b71e00905807aecdcc30c0,119646.16963793559
1,40,eab4b056e3b71e00905807aecdcc30c0,143569.10762998214
1,40,eab4b056e3b71e00905807aecdcc30c0,126364.51398635554
1,60,eab4b056e3b71e00905807aecdcc30c0,78632.38692503971
1,60,eab4b056e3b71e00905807aecdcc30c0,91841.44271273048
1,60,eab4b056e3b71e00905807aecdcc30c0,85865.38931593079
1,60,eab4b056e3b71e00905807aecdcc30c0,77306.52557834183
1,60,eab4b056e3b71e00905807aecdcc30c0,87855.83867290664
1,80,eab4b056e3b71e00905807aecdcc30c0,68805.74866259095
1,80,eab4b056e3b71e00905807aecdcc30c0,82932.8631334904
1,80,eab4b056e3b71e00905807aecdcc30c0,66966.2524014145
1,80,eab4b056e3b71e00905807aecdcc30c0,70581.5970686111
1,80,eab4b056e3b71e00905807aecdcc30c0,55097.230065453405
1,100,eab4b056e3b71e00905807aecdcc30c0,48828.0650862538
1,100,eab4b056e3b71e00905807aecdcc30c0,49554.23409952437
1,100,eab4b056e3b71e00905807aecdcc30c0,56038.79977456427
1,100,eab4b056e3b71e00905807aecdcc30c0,56923.3954343354
1,100,eab4b056e3b71e00905807aecdcc30c0,57505.1137161435
1,120,eab4b056e3b71e00905807aecdcc30c0,42966.5066035652
1,120,eab4b056e3b71e00905807aecdcc30c0,45468.29533216075
1,120,eab4b056e3b71e00905807aecdcc30c0,46824.67882947943
1,120,eab4b056e3b71e00905807aecdcc30c0,45177.39090697523
1,120,eab4b056e3b71e00905807aecdcc30c0,56197.41733661644
1,140,eab4b056e3b71e00905807aecdcc30c0,44917.08015730568
1,140,eab4b056e3b71e00905807aecdcc30c0,47506.45685876097
1,140,eab4b056e3b71e00905807aecdcc30c0,45474.82574867876
1,140,eab4b056e3b71e00905807aecdcc30c0,35790.51888766783
1,140,eab4b056e3b71e00905807aecdcc30c0,43631.79643559934
1,160,eab4b056e3b71e00905807aecdcc30c0,36039.181786709
1,160,eab4b056e3b71e00905807aecdcc30c0,31726.597831502564
1,160,eab4b056e3b71e00905807aecdcc30c0,35085.15757907586
1,160,eab4b056e3b71e00905807aecdcc30c0,29820.129195498015
1,160,eab4b056e3b71e00905807aecdcc30c0,34777.80402736167
1,180,eab4b056e3b71e00905807aecdcc30c0,34845.970276567
1,180,eab4b056e3b71e00905807aecdcc30c0,35152.59360813241
1,180,eab4b056e3b71e00905807aecdcc30c0,32507.50975184146
1,180,eab4b056e3b71e00905807aecdcc30c0,30078.366203215246
1,180,eab4b056e3b71e00905807aecdcc30c0,30679.491964790304
1,200,eab4b056e3b71e00905807aecdcc30c0,29466.61812666233
1,200,eab4b056e3b71e00905807aecdcc30c0,32891.586625167336
1,200,eab4b056e3b71e00905807aecdcc30c0,28510.775129213554
1,200,eab4b056e3b71e00905807aecdcc30c0,36040.740486817114
1,200,eab4b056e3b71e00905807aecdcc30c0,34524.59001617402
